,Clinic Name,Distance and Status,Address,Location,Contact Info
0,Mindchamps Medical Clinic,9.37 km - Closing in 2 hr 31 min,1 West Coast Drive #01-23 Newest,Singapore 128020,T +65 6255 4010
1,Newest Medical and Laser Clinic,9.37 km - Closing in 0 hr 1 min,1 West Coast Drive #01-49/50 Newest,Singapore 128020,T +65 6266 0451
2,Yarra Medical Clinic,9.37 km - Closed,1 West Coast Drive #01-11 Newest,Singapore 128020,T +65 6264 3703
3,OneCare Clinic Ubi,9.38 km - Closing in 0 hr 31 min,"302, Ubi Avenue 1 #01-31",Singapore 400302,T +65 6514 1708
4,Frontier Medical Associates (Ubi),9.39 km - Closing in 6 hr 31 min,304 Ubi Ave 1 #01-87,Singapore 400304,T +65 6746 0909
5,Healthway Medical Group AMK,9.39 km - Closing in 2 hr 31 min,330 Ang Mo Kio Ave 1 #01-1803,Singapore 560330,T +65 6553 0100
6,Caritas Clinic,9.39 km - Closing in 1 hr 31 min,304 Ubi Ave 1 #01-127,Singapore 400304,T +65 6748 9284
7,Family Medicine Clinic,9.4 km - Closed,58 Marine Terrace #01-65,Singapore 440058,T +65 6449 1606
8,Silver Cross 24Hr Clinic (Upper Bukit Timah),9.44 km - Closing in 9 hr 31 min,3 Cheong Chin Nam Road,Singapore 599728,T +65 6875 1191
9,Great Health Medical Clinic,9.46 km - Closing in 7 hr 1 min,407 Ang Mo Kio Ave 10 #01-749,Singapore 560407,T +65 6456 1767
10,Ubi Family Clinic & Surgery,9.46 km - Closing in 1 hr 31 min,305 Ubi Ave 1 #01-167,Singapore 400305,T +65 6749 7922
11,1 Medical Teck Ghee,9.46 km - Closed,Blk 410 Ang Mo Kio Avenue 10 #01-837 Teck Ghee Square,Singapore 560410,T +65 6251 7030
12,Intemedical Teck Ghee,9.48 km - Closing in 9 hr 31 min,338 Ang Mo Kio Ave 1  #01-1625,Singapore 560338,T +65 6904 9579
13,Healthpath Medical Clinic And Surgery,9.48 km - Closing in 2 hr 31 min,338 Ang Mo Kio Ave 1 #01-1651,Singapore 560338,T +65 6483 2556
14,338 Family Clinic,9.48 km - Closing in 2 hr 1 min,338 Ang Mo Kio Ave 1 #01-1615,Singapore 560338,T +65 6454 9408
15,Daily Medical Centre,9.48 km - Closed,159 Hougang St 11 #01-17,Singapore 530159,T +65 6284 3218
16,Cheong Medical Clinic,9.48 km - Closed,76 Jalan Jurong Kechil,Singapore 598589,T +65 6468 6311
17,Marine Parade Clinic,9.49 km - Closing in 3 hr 31 min,59 Marine Terrace #01-81,Singapore 440059,T +65 6241 9065
18,Bukit Timah Nam Sang Clinic,9.49 km - Closing in 2 hr 31 min,80 Jalan Jurong Kechil,Singapore 598591,T +65 6469 0760
19,Accord Medical Clinic,9.5 km - Closing in 7 hr 31 min,325 Ubi Ave 1 #01-701,Singapore 400325,T +65 6844 1528
20,Advance Clinic & Surgery,9.52 km - Closing in 3 hr 1 min,301 Ubi Ave 1 #01-269,Singapore 400301,T +65 6742 1156
21,HK Family Clinic & Surgery,9.52 km - Closed,410 Ang Mo Kio Ave 10 #01-817,Singapore 560410,T +65 6552 8757
22,AceHealth Medical,9.53 km - Closed,"Blk 316B Ang Mo Kio Street 31, Teck Ghee Vista #01-10",Singapore 563316,T +65 6252 6772
23,Tong Clinic & Surgery,9.57 km - Closing in 2 hr 1 min,316B Ang Mo Kio St 31 #01-05,Singapore 563316,T +65 6452 8311
24,Ong Medical Clinic,9.57 km - Closed,316B Ang Mo Kio St 31 #01-10,Singapore 563316,T +65 6452 3586
25,Faith Family Clinic,9.61 km - Closing in 2 hr 0 min,57 Marine Terrace #01-113,Singapore 440057,T +65 6446 6326
26,Marine Terrace Family Clinic,9.61 km - Closed,57 Marine Terrace #01-129,Singapore 440057,T +65 6442 0188
27,GSH Clinic & Surgery,9.63 km - Closed,9 Yio Chu Kang Road #01-40 Space@Kovan,Singapore 545523,T +65 6260 5942
28,CareDoc Medical Clinic,9.66 km - Closing in 2 hr 30 min,Blk 215 Ang Mo Kio Avenue 1 #01-907,Singapore 560215,T +65 6518 4771
29,Tan Medical Clinic,9.66 km - Closed,339 Ang Mo Kio Ave 1 #01-1583,Singapore 560339,T +65 6453 0482
30,Comfort Clinic & Surgery,9.69 km - Closing in 1 hr 30 min,214 Serangoon Ave 4 #01-100,Singapore 550214,T +65 6280 7271
31,Family Health Medical Centre,9.71 km - Closing in 1 hr 30 min,226G Ang Mo Kio Ave 1 #01-681,Singapore 567226,T +65 6454 1980
32,Wong Clinic & Surgery,9.72 km - Closed,416 Ang Mo Kio Ave 10 #01-997,Singapore 560416,T +65 6454 8361
33,Ki Medical Clinic,9.72 km - Closed,416 Ang Mo Kio Ave 10 #01-975,Singapore 560416,T +65 6455 4475
34,Mission Medical Clinic,9.76 km - Closing in 0 hr 0 min,780 Upper Serangoon Road #01-001 Choon Kim House,Singapore 534649,T +65 6289 2100
35,S Y Ng Clinic,9.77 km - Closing in 2 hr 0 min,226A Ang Mo Kio Ave 1 #01-631,Singapore 561226,T +65 6452 8144
36,Trucare Medical And Surgery,9.78 km - Closing in 2 hr 30 min,Blk 226A Ang Mo Kio Avenue 1 #Kebun Baru Mall #01-631,Singapore 561226,T +65 6255 8849
37,Tan-Teoh Clinic & Surgery (AMK),9.8 km - Closed,302 Ang Mo Kio Ave 3 #01-1846,Singapore 560302,T +65 6452 0818
38,Lo & Lee Clinic & Surgery,9.84 km - Closing in 1 hr 30 min,134 Lorong Ah Soo #01-462,Singapore 530134,T +65 6285 5688
39,Tng Family Clinic,9.88 km - Closing in 1 hr 30 min,347 Ang Mo Kio Ave 3 #01-2126,Singapore 560347,T +65 6454 1203
40,Esteemed Medical Clinic,9.9 km - Closing in 1 hr 30 min,260 Ang Mo Kio St 21 #01-01,Singapore 560260,T +65 6924 8215
41,Healthway Medical Clinic (Lengkong Tiga),9.92 km - Closing in 2 hr 0 min,110 Lengkong Tiga #01-231,Singapore 410110,T +65 6749 4062
42,Clarion Medical,9.94 km - Closing in 6 hr 0 min,202 Ang Mo Kio Avenue 3 #Ang Mo Kio View #01-1676,Singapore 560202,T +65 6353 0818 F +65 6353 2118
43,S G Clinic Family Practice,10.03 km - Closed,84 Serangoon Garden Way,Singapore 555980,T +65 6382 1988
44,A+Ffordable Clinic (Amk Ave 10),10.06 km - Closed,Blk 449 Ang Mo Kio Avenue 10 ##01-1715,Singapore 560449,T +65 6343 7731 F +65 6343 6528
